台北市,松山區,敦化里,5,2123,3,11,1892,30,5712
台北市,松山區,復源里,3,1083,0,3,747,20,2604
台北市,松山區,復建里,0,1445,2,3,917,16,3508
台北市,松山區,復勢里,7,1850,7,11,1653,32,5001
台北市,松山區,福成里,0,806,2,6,665,13,2204
台北市,信義區,西村里,4,2162,7,13,619,27,5029
台北市,信義區,正和里,5,1833,5,11,857,11,3811
台北市,信義區,興隆里,3,1043,6,5,589,15,2493
台北市,信義區,中興里,1,1073,0,3,658,8,2697
台北市,信義區,新仁里,3,1311,2,5,620,15,2840
台北市,信義區,興雅里,2,1934,4,7,1383,25,4848
台北市,信義區,敦厚里,2,1638,0,7,1123,17,4136
台北市,信義區,廣居里,11,2774,7,8,1674,30,6269
台北市,信義區,安康里,7,3185,14,12,2024,43,7594
台北市,信義區,六藝里,0,1145,3,6,1085,28,2965
台北市,信義區,雅祥里,3,1465,5,9,1359,30,4007
台北市,信義區,五常里,4,1210,2,3,947,25,3091
台北市,信義區,五全里,11,1559,3,10,1530,18,4259
台北市,信義區,永吉里,0,1000,3,2,1439,24,3564
台北市,信義區,長春里,2,1221,5,6,1211,28,3468
台北市,信義區,四育里,3,1728,4,10,1671,26,4658
台北市,信義區,四維里,6,1925,1,5,1210,28,4528
台北市,信義區,永春里,6,1580,7,12,1433,25,4249
台北市,信義區,富台里,5,1731,5,9,725,20,3569
台北市,信義區,國業里,4,2576,4,7,1677,27,5979
台北市,信義區,松隆里,1,727,3,4,574,18,1975
台北市,信義區,松友里,16,2279,5,18,1473,35,5397
台北市,信義區,松光里,3,1668,8,3,1405,21,4242
台北市,信義區,中坡里,4,1544,3,14,1215,23,3807
台北市,信義區,中行里,5,2422,12,17,2200,34,6546
台北市,信義區,大道里,1,2028,4,16,1708,35,5320
台北市,信義區,大仁里,2,1463,4,6,1235,31,3610
台北市,信義區,景新里,5,1816,3,5,970,18,4201
台北市,信義區,惠安里,5,2521,2,7,1320,30,5421
台北市,信義區,三張里,2,3345,10,16,1886,36,7474
台北市,信義區,三犁里,5,1820,1,7,1064,25,4261
台北市,信義區,六合里,8,2641,3,13,1150,34,5721
台北市,信義區,泰和里,5,2777,9,13,1754,34,6579
台北市,信義區,景聯里,2,1639,3,5,1074,30,3868
台北市,信義區,景勤里,4,1580,7,11,933,28,3539
台北市,信義區,雙和里,15,2677,9,20,1547,38,5942
台北市,信義區,嘉興里,2,1130,4,6,881,16,2792
台北市,信義區,黎順里,3,1344,4,8,865,22,3296
台北市,信義區,黎平里,9,2551,9,26,1569,33,5894
台北市,信義區,黎忠里,2,1697,5,10,1149,26,3955
台北市,信義區,黎安里,4,1032,1,3,366,22,2031
台北市,中山區,正守里,4,939,1,6,941,17,2607
台北市,中山區,正義里,2,1358,2,8,1101,23,3994
台北市,中山區,正得里,1,1053,1,4,835,12,2905
台北市,中山區,民安里,2,1339,4,7,1475,16,4103
台北市,中山區,康樂里,3,721,1,1,573,21,2033
台北市,中山區,中山里,5,1540,6,8,1489,27,4766
台北市,中山區,聚盛里,3,1120,0,0,939,22,3290
台北市,中山區,集英里,2,1629,4,9,1951,38,5301
台北市,中山區,聚葉里,8,1075,3,3,1003,17,3199
台北市,中山區,恆安里,3,1139,3,4,1043,21,3395
台北市,中山區,晴光里,4,1371,6,5,1147,24,4107
台北市,中山區,圓山里,5,1084,1,3,1113,14,3324
台北市,中山區,新庄里,8,1358,7,8,1543,25,4065
台北市,中山區,劍潭里,5,1867,3,3,373,22,3192
台北市,中山區,大直里,8,3248,7,14,2102,41,7612
台北市,中山區,成功里,4,1763,4,8,1229,17,4507
台北市,中山區,永安里,3,2884,7,9,2160,32,7244
台北市,中山區,大佳里,0,225,0,1,429,9,963
台北市,中山區,金泰里,6,2094,2,7,1502,16,5219
台北市,中山區,北安里,0,1024,3,6,559,6,2178
台北市,中山區,新喜里,2,1408,3,11,1575,25,4245
台北市,中山區,新福里,2,1266,3,5,1653,24,4221
